OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,,ABBOTSFORD,VICTORIA,3067,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.804043284,144.99356789,,,GAVIC413094178,4 EDDY COURT,1,3067,ABBOTSFORD,0,-37.80404328,144.99356788
2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ESSENDON,OPERATIONAL,,ABERFELDIE,VICTORIA,3040,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.763234002,144.902691,,,GAVIC425470053,9 RUTHERFORD STREET,0,3040,ABERFELDIE,0,-37.76323373,144.90269078
3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ACHERON FIRE STATION CFA,OPERATIONAL,,ACHERON,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.252943841,145.7061793,,,GAVIC422169386,29 MCCOLL LANE,1,3714,ACHERON,8,-37.25288785,145.70611548
4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AIREYS INLET FIRE STATION CFA,OPERATIONAL,,AIREYS INLET,VICTORIA,3231,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.456047359,144.1044378,,,GAVIC419937927,26 PEARSE ROAD,1,3231,AIREYS INLET,11,-38.45598272,144.1043507
5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALBERTON WEST FIRE STATION CFA,OPERATIONAL,,ALBERTON WEST,VICTORIA,3971,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.605115823,146.58915161,,,GAVIC422303407,333 LANES ROAD,0,3971,ALBERTON WEST,9,-38.60519521,146.58911666
6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.188634559,145.70777089,,,GAVIC424537965,33 GRANT STREET,1,3714,ALEXANDRA,0,-37.18863455,145.70777089
7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ALEXANDRA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.183854001,145.709924,,,GAVIC419830193,7 SHAMROCK STREET,1,3714,ALEXANDRA,1,-37.18385398,145.70992944
8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALEXANDRA AMBULANCE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.195537634,145.71810103,,,GAVIC425744480,18 WATTLE STREET,0,3714,ALEXANDRA,105,-37.19601977,145.71708855
9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALEXANDRA FIRE STATION CFA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.183695662,145.7093477,,,GAVIC420014576,2 SHAMROCK STREET,1,3714,ALEXANDRA,9,-37.18365063,145.70926435
10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES BALLARAT,OPERATIONAL,,ALFREDTON,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.565056002,143.81630201,,BALLARAT APEX CLUB,GAVIC423916462,1 ABATTOIR STREET,1,3350,ALFREDTON,0,-37.56505633,143.81630176
11,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLAMBEE FIRE STATION CFA,OPERATIONAL,,ALLAMBEE RESERVE,VICTORIA,3871,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.318062002,146.049018,,,GAVIC422171947,945 MIRBOO-YARRAGON ROAD,1,3871,ALLAMBEE RESERVE,9,-38.31806775,146.0491162
12,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANS FLAT FIRE STATION CFA,OPERATIONAL,,ALLANS FLAT,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.278804744,146.91696835,,,GAVIC423165339,48 GAP FLAT ROAD,0,3691,ALLANS FLAT,11,-36.278892,146.916922
13,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANSFORD FIRE STATION CFA,OPERATIONAL,,ALLANSFORD,VICTORIA,3277,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.386257886,142.59746316,,,GAVIC420252068,61 ZIEGLER PARADE,1,3277,ALLANSFORD,3,-38.38623015,142.59746145
14,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,KINGSTON SATELLITE FIRE STATION (ALLENDALE) CFA,OPERATIONAL,,ALLENDALE,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.371061499,143.92094224,,,GAVIC425015218,3 ELIZABETH STREET,0,3364,ALLENDALE,7,-37.37100744,143.92089355
15,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALMONDS FIRE STATION CFA,OPERATIONAL,,ALMONDS,VICTORIA,3727,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.212213003,146.03155499,,,GAVIC422203393,322 WILBY ROAD,0,3727,ALMONDS,27,-36.21243879,146.03165748
16,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,NORTHCOTE AMBULANCE STATION,OPERATIONAL,,ALPHINGTON,VICTORIA,3078,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.782143998,145.02004101,,,GAVIC424531315,23-27 AUSTIN STREET,0,3078,ALPHINGTON,0,-37.7821447,145.02004093
17,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES NORTHCOTE,OPERATIONAL,,ALPHINGTON,VICTORIA,3078,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.777535004,145.032283,,,GAVIC420343240,2 WINGROVE STREET,2,3078,ALPHINGTON,0,-37.77753459,145.03228299
18,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,ALTONA MFB,OPERATIONAL,,ALTONA,VICTORIA,3018,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.864012947,144.81718542,,,GAVIC421598632,3 AKUNA STREET,2,3018,ALTONA,0,-37.86401275,144.81718554
19,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES HOBSONS BAY,OPERATIONAL,,ALTONA,VICTORIA,3018,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.863834998,144.826473,,DEPOT,GAVIC719427810,149-153 CIVIC PARADE,1,3018,ALTONA,17,-37.86381902,144.82628117
20,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALTONA AMBULANCE STATION,OPERATIONAL,,ALTONA NORTH,VICTORIA,3025,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.831168996,144.846152,,,GAVIC421026975,391-397 BLACKSHAWS ROAD,1,3025,ALTONA NORTH,0,-37.831168,144.846152
21,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALTONA NORTH POLICE STATION,OPERATIONAL,,ALTONA NORTH,VICTORIA,3025,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.836091896,144.84472483,,,GAVIC420728108,72 COOPER AVENUE,1,3025,ALTONA NORTH,44,-37.83571353,144.84488485
22,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AMPHITHEATRE FIRE STATION CFA,OPERATIONAL,,AMPHITHEATRE,VICTORIA,3468,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.182727998,143.399833,,AMPHITHEATRE FIRE STATION,GAVIC424872459,73 BAILEY STREET,1,3468,AMPHITHEATRE,9,-37.18269922,143.39974167
23,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANAKIE FIRE STATION CFA,OPERATIONAL,,ANAKIE,VICTORIA,3213,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.91048563,144.25442235,,,GAVIC424349736,2166 BALLAN ROAD,1,3213,ANAKIE,17,-37.91061249,144.25452415
24,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,OMEO SATELLITE FIRE STATION (ANGLERS REST) CFA,OPERATIONAL,,ANGLERS REST,VICTORIA,3898,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.002920997,147.442025,,,GAVIC424612726,550 CALLAGHANS ROAD,0,3898,ANGLERS REST,1,-37.00291793,147.44201987
25,EMERGENCY FACILITY,"An emergency management facility from which a particular agency¡¯s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANGLESEA FIRE STATION CFA,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.403580748,144.19220412,,,GAVIC421730297,59 GREAT OCEAN ROAD,1,3230,ANGLESEA,23,-38.40376135,144.19206834
